location,bedrooms,bathrooms,size_sqft,furnishing,rent_price
International City,0,1,487,Unfurnished,21000
Business Bay,3,4,2235,Furnished,285000
Downtown Dubai,1,1,1039,Unfurnished,107000
Dubai Marina,0,1,632,Partly Furnished,59000
International City,1,1,833,Unfurnished,31000
Jumeirah Village Circle (JVC),2,2,1111,Unfurnished,71000
Jumeirah Lake Towers (JLT),4,4,2806,Unfurnished,284000
Dubai Sports City,2,3,1144,Unfurnished,61000
Jumeirah Lake Towers (JLT),1,2,925,Unfurnished,83000
Jumeirah Village Circle (JVC),0,1,439,Furnished,33000
International City,2,2,1242,Partly Furnished,59000
Al Nahda,2,2,1461,Furnished,98000
Dubai Marina,1,1,880,Partly Furnished,110000
Jumeirah Village Circle (JVC),2,2,1148,Furnished,95000
International City,1,1,1188,Furnished,72000
Jumeirah Beach Residence (JBR),1,1,1158,Unfurnished,121000
Business Bay,2,3,1672,Furnished,247000
Downtown Dubai,3,4,1909,Partly Furnished,218000
Dubai Sports City,2,3,1192,Unfurnished,91000
Jumeirah Village Circle (JVC),0,1,399,Furnished,33000
Downtown Dubai,1,1,951,Furnished,170000
Al Nahda,2,2,1456,Unfurnished,67000
Al Nahda,2,3,1489,Unfurnished,88000
Discovery Gardens,3,3,2510,Partly Furnished,182000
Dubai Sports City,1,2,1177,Furnished,87000
Dubai Sports City,2,2,1695,Partly Furnished,132000
Dubai Sports City,0,1,423,Furnished,32000
Discovery Gardens,2,2,1269,Unfurnished,79000
Jumeirah Beach Residence (JBR),0,1,450,Unfurnished,52000
Jumeirah Lake Towers (JLT),0,1,577,Unfurnished,49000
Jumeirah Village Circle (JVC),4,5,3100,Furnished,243000
Dubai Marina,2,2,1458,Partly Furnished,168000
Discovery Gardens,1,2,880,Unfurnished,47000
Jumeirah Lake Towers (JLT),1,1,1103,Unfurnished,86000
International City,0,1,542,Unfurnished,25000
Jumeirah Lake Towers (JLT),4,4,3779,Unfurnished,323000
Discovery Gardens,2,2,1208,Unfurnished,80000
Dubai Marina,3,3,2161,Furnished,281000
Dubai Sports City,1,1,1091,Unfurnished,69000
Business Bay,1,1,1174,Unfurnished,135000
Al Nahda,1,2,982,Furnished,58000
Business Bay,2,3,1103,Unfurnished,125000
Discovery Gardens,1,1,1064,Unfurnished,50000
Jumeirah Village Circle (JVC),0,1,598,Unfurnished,40000
Jumeirah Lake Towers (JLT),1,1,1121,Unfurnished,97000
Jumeirah Village Circle (JVC),0,1,387,Furnished,34000
Dubai Sports City,2,3,1405,Furnished,120000
Business Bay,1,1,1081,Unfurnished,124000
Al Nahda,1,2,912,Partly Furnished,41000
Palm Jumeirah,1,2,901,Unfurnished,111000
Jumeirah Beach Residence (JBR),1,2,709,Unfurnished,82000
Jumeirah Village Circle (JVC),2,2,1201,Furnished,103000
Discovery Gardens,4,4,3611,Unfurnished,152000
Jumeirah Village Circle (JVC),2,2,1506,Unfurnished,112000
Discovery Gardens,0,1,518,Unfurnished,25000
Dubai Sports City,4,4,3860,Furnished,340000
Palm Jumeirah,3,3,2548,Unfurnished,315000
International City,2,3,1468,Unfurnished,62000
International City,2,3,1414,Partly Furnished,70000
Business Bay,1,1,892,Unfurnished,80000
Jumeirah Village Circle (JVC),4,5,4006,Furnished,324000
Al Nahda,2,2,1551,Furnished,93000
Downtown Dubai,1,2,706,Unfurnished,106000
Business Bay,4,4,3733,Unfurnished,295000
Business Bay,0,1,402,Unfurnished,38000
Jumeirah Beach Residence (JBR),1,1,1111,Unfurnished,109000
Jumeirah Village Circle (JVC),1,2,1188,Furnished,85000
International City,1,2,988,Furnished,56000
International City,1,1,827,Furnished,34000
Discovery Gardens,1,2,1060,Furnished,58000
Jumeirah Lake Towers (JLT),1,2,757,Unfurnished,63000
Dubai Silicon Oasis,2,2,1303,Unfurnished,82000
Dubai Silicon Oasis,2,3,1685,Furnished,110000
Dubai Silicon Oasis,1,1,929,Unfurnished,56000
Discovery Gardens,1,1,1066,Partly Furnished,68000
Jumeirah Beach Residence (JBR),1,1,965,Unfurnished,118000
Al Nahda,1,1,957,Furnished,63000
Dubai Silicon Oasis,1,1,1014,Furnished,82000
Dubai Sports City,2,3,1513,Furnished,105000
Palm Jumeirah,2,2,1236,Unfurnished,193000
Discovery Gardens,2,3,1361,Furnished,68000
Dubai Marina,1,1,943,Furnished,142000
Business Bay,1,1,1078,Furnished,107000
Al Nahda,2,2,1140,Unfurnished,55000
Discovery Gardens,1,1,810,Furnished,41000
Discovery Gardens,1,1,998,Unfurnished,43000
International City,2,3,1260,Furnished,59000
Jumeirah Lake Towers (JLT),2,3,1374,Unfurnished,109000
Dubai Marina,1,2,1020,Unfurnished,123000
Jumeirah Beach Residence (JBR),2,2,1172,Unfurnished,143000
Discovery Gardens,3,3,2393,Furnished,135000
Business Bay,1,2,1062,Furnished,147000
Jumeirah Beach Residence (JBR),1,1,736,Furnished,100000
Jumeirah Beach Residence (JBR),2,3,1284,Unfurnished,147000
Palm Jumeirah,1,2,1023,Unfurnished,131000
Downtown Dubai,0,1,470,Unfurnished,45000
Downtown Dubai,0,1,551,Furnished,95000
Jumeirah Beach Residence (JBR),2,2,1168,Unfurnished,152000
Dubai Silicon Oasis,2,2,1376,Furnished,92000
International City,2,3,1643,Furnished,97000
Dubai Marina,1,2,994,Unfurnished,105000
Dubai Silicon Oasis,0,1,458,Partly Furnished,28000
Jumeirah Village Circle (JVC),2,2,1175,Furnished,108000
Discovery Gardens,2,2,1338,Furnished,80000
International City,1,1,744,Unfurnished,26000
Jumeirah Beach Residence (JBR),2,3,1388,Unfurnished,158000
Dubai Sports City,3,4,2349,Furnished,179000
Dubai Sports City,1,1,905,Unfurnished,49000
Jumeirah Village Circle (JVC),1,2,1111,Partly Furnished,97000
Dubai Silicon Oasis,2,2,1118,Furnished,85000
Jumeirah Village Circle (JVC),1,2,1198,Partly Furnished,83000
Jumeirah Beach Residence (JBR),3,4,2132,Unfurnished,278000
Palm Jumeirah,4,4,2570,Unfurnished,397000
Discovery Gardens,2,2,1292,Unfurnished,69000
Dubai Sports City,1,1,728,Furnished,59000
Downtown Dubai,0,1,505,Furnished,83000
Dubai Marina,3,3,2198,Unfurnished,212000
Jumeirah Village Circle (JVC),1,1,1149,Unfurnished,70000
Jumeirah Beach Residence (JBR),1,1,931,Unfurnished,90000
Palm Jumeirah,0,1,355,Unfurnished,53000
Dubai Sports City,0,1,398,Unfurnished,26000
Al Nahda,1,2,920,Partly Furnished,43000
Dubai Silicon Oasis,1,2,739,Unfurnished,42000
Downtown Dubai,2,3,1578,Furnished,179000
Al Nahda,2,2,1447,Furnished,68000
Jumeirah Beach Residence (JBR),0,1,485,Unfurnished,56000
Dubai Marina,1,2,1013,Furnished,101000
Dubai Silicon Oasis,2,2,1682,Furnished,116000
Palm Jumeirah,1,2,914,Furnished,158000
Dubai Silicon Oasis,3,3,2169,Furnished,148000
Discovery Gardens,2,3,1619,Partly Furnished,83000
Al Nahda,3,4,2415,Furnished,164000
Al Nahda,2,3,1495,Unfurnished,78000
International City,1,2,993,Partly Furnished,50000
Jumeirah Lake Towers (JLT),1,2,872,Furnished,85000
Dubai Silicon Oasis,2,2,1685,Furnished,150000
International City,2,3,1439,Furnished,76000
Dubai Sports City,1,1,762,Unfurnished,51000
Al Nahda,2,3,1219,Furnished,82000
Jumeirah Village Circle (JVC),1,2,931,Furnished,79000
Al Nahda,0,1,613,Unfurnished,28000
Dubai Silicon Oasis,0,1,625,Furnished,58000
Palm Jumeirah,2,2,1464,Unfurnished,195000
Dubai Sports City,1,1,1199,Furnished,107000
Dubai Silicon Oasis,0,1,640,Unfurnished,34000
Dubai Silicon Oasis,2,3,1306,Partly Furnished,75000
Business Bay,1,1,837,Unfurnished,69000
Jumeirah Beach Residence (JBR),2,3,1173,Unfurnished,138000
Discovery Gardens,3,3,2321,Unfurnished,131000
Business Bay,1,1,967,Unfurnished,107000
Al Nahda,3,4,2414,Furnished,162000
Dubai Silicon Oasis,3,4,2170,Furnished,156000
Discovery Gardens,2,2,1281,Unfurnished,60000
Jumeirah Beach Residence (JBR),2,2,1505,Unfurnished,193000
Business Bay,1,2,1133,Furnished,150000
Dubai Silicon Oasis,2,3,1631,Furnished,124000
Dubai Marina,1,1,1021,Partly Furnished,116000
Dubai Sports City,2,3,1249,Furnished,78000
Business Bay,3,4,2327,Unfurnished,249000
Jumeirah Beach Residence (JBR),1,1,938,Furnished,133000
Business Bay,3,3,1878,Unfurnished,217000
Jumeirah Lake Towers (JLT),4,5,3730,Furnished,307000
Jumeirah Lake Towers (JLT),0,1,468,Unfurnished,44000
Al Nahda,1,2,710,Furnished,39000
Dubai Marina,1,2,1057,Furnished,114000
Palm Jumeirah,1,1,825,Unfurnished,85000
Palm Jumeirah,1,1,809,Furnished,110000
Jumeirah Beach Residence (JBR),2,3,1148,Unfurnished,130000
Jumeirah Village Circle (JVC),1,2,922,Furnished,71000
Dubai Sports City,1,2,829,Furnished,73000
Palm Jumeirah,1,2,1185,Furnished,177000
Dubai Sports City,0,1,494,Unfurnished,37000
Jumeirah Beach Residence (JBR),2,2,1283,Unfurnished,123000
Dubai Marina,1,2,1123,Furnished,118000
Jumeirah Village Circle (JVC),0,1,362,Furnished,34000
Jumeirah Village Circle (JVC),1,2,1032,Furnished,87000
Jumeirah Lake Towers (JLT),2,2,1326,Furnished,121000
Al Nahda,1,2,1017,Furnished,76000
Dubai Silicon Oasis,1,1,887,Unfurnished,53000
Jumeirah Village Circle (JVC),2,2,1286,Unfurnished,84000
Downtown Dubai,1,2,830,Unfurnished,108000
Jumeirah Beach Residence (JBR),3,4,1946,Partly Furnished,201000
Jumeirah Village Circle (JVC),2,2,1175,Partly Furnished,105000
Jumeirah Village Circle (JVC),1,1,826,Unfurnished,53000
International City,1,2,1087,Unfurnished,54000
Dubai Sports City,2,2,1436,Unfurnished,87000
Downtown Dubai,0,1,407,Unfurnished,63000
International City,2,2,1573,Furnished,76000
Jumeirah Village Circle (JVC),2,2,1371,Furnished,128000
Dubai Silicon Oasis,2,2,1597,Unfurnished,101000
Downtown Dubai,0,1,498,Unfurnished,60000
Jumeirah Lake Towers (JLT),2,3,1463,Partly Furnished,99000
Business Bay,2,3,1466,Unfurnished,115000
Jumeirah Village Circle (JVC),1,1,839,Furnished,61000
Jumeirah Village Circle (JVC),1,2,967,Unfurnished,72000
Al Nahda,2,2,1372,Unfurnished,73000
Dubai Sports City,2,3,1489,Unfurnished,92000
Dubai Sports City,1,2,932,Unfurnished,55000
Al Nahda,1,2,762,Unfurnished,40000
International City,2,3,1127,Furnished,74000
Jumeirah Beach Residence (JBR),2,3,1276,Unfurnished,153000
Dubai Silicon Oasis,2,2,1327,Furnished,115000
Jumeirah Beach Residence (JBR),1,2,883,Unfurnished,87000
Business Bay,2,2,1559,Unfurnished,157000
Jumeirah Village Circle (JVC),0,1,486,Unfurnished,34000
Dubai Silicon Oasis,1,1,724,Furnished,43000
Downtown Dubai,0,1,422,Furnished,71000
Jumeirah Village Circle (JVC),3,3,1894,Furnished,118000
Jumeirah Lake Towers (JLT),1,1,743,Unfurnished,63000
Discovery Gardens,3,3,1831,Unfurnished,99000
Discovery Gardens,1,2,1086,Unfurnished,59000
Jumeirah Village Circle (JVC),0,1,643,Furnished,59000
Dubai Sports City,2,2,1169,Furnished,91000
Palm Jumeirah,2,3,1291,Furnished,202000
Dubai Silicon Oasis,0,1,552,Furnished,35000
Palm Jumeirah,1,2,1142,Furnished,156000
International City,2,2,1459,Unfurnished,64000
Al Nahda,0,1,439,Furnished,30000
Downtown Dubai,1,2,1077,Furnished,139000
Jumeirah Village Circle (JVC),1,2,946,Unfurnished,52000
International City,1,1,810,Partly Furnished,33000
International City,3,3,1908,Unfurnished,97000
Discovery Gardens,1,1,716,Partly Furnished,38000
Downtown Dubai,1,1,961,Partly Furnished,103000
Dubai Marina,2,2,1368,Unfurnished,144000
Discovery Gardens,0,1,407,Furnished,25000
Jumeirah Village Circle (JVC),1,2,1089,Unfurnished,85000
Palm Jumeirah,2,3,1561,Unfurnished,188000
Dubai Silicon Oasis,2,2,1518,Unfurnished,87000
Palm Jumeirah,1,2,743,Furnished,128000
Downtown Dubai,1,1,1054,Unfurnished,126000
Business Bay,2,3,1562,Unfurnished,124000
Jumeirah Village Circle (JVC),2,3,1487,Unfurnished,94000
Jumeirah Lake Towers (JLT),2,3,1235,Partly Furnished,134000
Jumeirah Beach Residence (JBR),1,2,770,Furnished,130000
Dubai Silicon Oasis,2,2,1557,Unfurnished,81000
Jumeirah Lake Towers (JLT),1,2,870,Furnished,86000
Jumeirah Lake Towers (JLT),3,3,2193,Unfurnished,200000
Jumeirah Village Circle (JVC),1,1,1123,Partly Furnished,82000
Business Bay,1,2,1078,Partly Furnished,136000
Jumeirah Village Circle (JVC),2,2,1551,Unfurnished,99000
Business Bay,2,2,1633,Unfurnished,155000
Dubai Marina,1,2,702,Furnished,80000
Dubai Silicon Oasis,1,1,932,Unfurnished,50000
Downtown Dubai,1,2,955,Furnished,147000
Dubai Sports City,2,2,1124,Furnished,101000
Al Nahda,1,1,1124,Unfurnished,46000
Downtown Dubai,0,1,360,Furnished,61000
Jumeirah Lake Towers (JLT),1,2,763,Unfurnished,56000
Jumeirah Beach Residence (JBR),1,2,940,Unfurnished,126000
Discovery Gardens,3,3,2063,Unfurnished,101000
Dubai Marina,1,2,1186,Unfurnished,103000
Discovery Gardens,2,3,1362,Unfurnished,67000
Downtown Dubai,0,1,490,Furnished,78000
Downtown Dubai,1,1,707,Furnished,88000
Jumeirah Beach Residence (JBR),1,2,800,Unfurnished,84000
Jumeirah Beach Residence (JBR),0,1,473,Furnished,72000
Downtown Dubai,2,3,1560,Partly Furnished,243000
International City,1,2,980,Unfurnished,37000
Palm Jumeirah,2,2,1129,Unfurnished,154000
Jumeirah Beach Residence (JBR),2,2,1633,Unfurnished,157000
Palm Jumeirah,0,1,387,Unfurnished,59000
Dubai Silicon Oasis,2,3,1149,Unfurnished,62000
Discovery Gardens,1,2,1023,Unfurnished,49000
Dubai Marina,1,1,767,Furnished,116000
International City,2,2,1514,Unfurnished,63000
Jumeirah Beach Residence (JBR),1,2,893,Unfurnished,110000
Dubai Silicon Oasis,1,1,1114,Furnished,95000
Dubai Sports City,2,3,1405,Unfurnished,88000
Business Bay,1,1,1175,Furnished,163000
Jumeirah Lake Towers (JLT),1,1,1109,Unfurnished,84000
Palm Jumeirah,0,1,544,Furnished,97000
International City,2,3,1129,Unfurnished,36000
International City,1,2,995,Unfurnished,45000
Dubai Sports City,1,2,907,Unfurnished,51000
Dubai Sports City,0,1,511,Unfurnished,33000
Dubai Marina,0,1,550,Furnished,87000
Palm Jumeirah,1,2,1020,Furnished,187000
Business Bay,2,2,1177,Unfurnished,131000
Dubai Marina,1,1,979,Unfurnished,112000
International City,0,1,511,Furnished,24000
Downtown Dubai,2,3,1121,Partly Furnished,172000
Business Bay,2,2,1263,Furnished,151000
International City,2,3,1551,Unfurnished,54000
Discovery Gardens,0,1,436,Partly Furnished,22000
Jumeirah Village Circle (JVC),0,1,518,Unfurnished,34000
Jumeirah Village Circle (JVC),3,3,2315,Unfurnished,155000
Dubai Sports City,0,1,622,Partly Furnished,34000
Jumeirah Beach Residence (JBR),2,2,1350,Furnished,222000
Dubai Marina,2,2,1607,Unfurnished,161000
International City,0,1,445,Unfurnished,22000
Dubai Sports City,1,2,715,Furnished,63000
Discovery Gardens,1,1,828,Unfurnished,48000
Jumeirah Beach Residence (JBR),1,1,860,Furnished,105000
Dubai Marina,2,2,1375,Furnished,207000
Dubai Sports City,2,2,1270,Unfurnished,63000
Business Bay,1,1,1064,Furnished,105000
Discovery Gardens,4,5,3126,Unfurnished,171000
International City,0,1,560,Furnished,34000
Dubai Marina,0,1,616,Furnished,83000
International City,1,2,1089,Unfurnished,42000
Downtown Dubai,3,4,2027,Partly Furnished,284000
Jumeirah Lake Towers (JLT),2,2,1423,Unfurnished,128000
Al Nahda,1,1,1120,Unfurnished,46000
Jumeirah Village Circle (JVC),2,3,1665,Unfurnished,118000
Discovery Gardens,2,3,1622,Unfurnished,92000
Jumeirah Lake Towers (JLT),1,1,1066,Unfurnished,98000
Dubai Marina,0,1,619,Unfurnished,76000
Al Nahda,1,2,1199,Unfurnished,53000
Discovery Gardens,1,2,746,Furnished,47000
Jumeirah Lake Towers (JLT),1,1,1189,Furnished,98000
Downtown Dubai,1,1,1090,Partly Furnished,130000
Jumeirah Village Circle (JVC),1,2,1136,Furnished,80000
Dubai Silicon Oasis,2,3,1612,Unfurnished,84000
Dubai Marina,0,1,641,Partly Furnished,62000
Jumeirah Village Circle (JVC),3,4,1855,Unfurnished,100000
Jumeirah Lake Towers (JLT),1,2,1120,Unfurnished,114000
Discovery Gardens,2,3,1641,Unfurnished,88000
Dubai Silicon Oasis,2,3,1189,Unfurnished,78000
Dubai Sports City,3,3,1789,Unfurnished,113000
Palm Jumeirah,1,1,1101,Partly Furnished,199000
Jumeirah Village Circle (JVC),1,1,711,Furnished,53000
Palm Jumeirah,0,1,596,Unfurnished,80000
Dubai Sports City,2,2,1271,Unfurnished,91000
Al Nahda,1,1,885,Unfurnished,38000
Discovery Gardens,2,3,1295,Unfurnished,77000
Business Bay,2,3,1525,Furnished,190000
International City,4,5,4202,Furnished,197000
Al Nahda,2,2,1515,Furnished,98000
Dubai Silicon Oasis,2,2,1222,Unfurnished,60000
Dubai Silicon Oasis,1,2,1095,Unfurnished,66000
Jumeirah Village Circle (JVC),1,1,821,Unfurnished,51000
Dubai Sports City,0,1,365,Partly Furnished,30000
International City,4,4,2826,Unfurnished,89000
Business Bay,1,1,1127,Unfurnished,138000
Jumeirah Lake Towers (JLT),1,1,1005,Unfurnished,65000
Jumeirah Beach Residence (JBR),1,1,1119,Unfurnished,156000
Dubai Marina,3,4,1889,Unfurnished,186000
Business Bay,0,1,441,Furnished,52000
Dubai Silicon Oasis,1,2,919,Unfurnished,44000
Jumeirah Beach Residence (JBR),4,5,4041,Furnished,515000
Dubai Silicon Oasis,1,1,847,Unfurnished,59000
International City,1,2,874,Furnished,36000
International City,1,1,846,Furnished,42000
Discovery Gardens,2,3,1332,Furnished,98000
Jumeirah Village Circle (JVC),0,1,624,Unfurnished,45000
Jumeirah Lake Towers (JLT),2,2,1639,Furnished,177000
Downtown Dubai,2,3,1226,Unfurnished,147000
Dubai Silicon Oasis,1,2,849,Unfurnished,53000
Jumeirah Lake Towers (JLT),0,1,585,Furnished,61000
Palm Jumeirah,0,1,414,Unfurnished,54000
Dubai Silicon Oasis,2,3,1257,Furnished,84000
Jumeirah Beach Residence (JBR),2,2,1565,Unfurnished,189000
Jumeirah Lake Towers (JLT),1,2,1039,Furnished,105000
Business Bay,1,1,789,Partly Furnished,71000
Jumeirah Lake Towers (JLT),1,2,816,Unfurnished,68000
Business Bay,1,1,833,Furnished,84000
International City,1,2,867,Unfurnished,34000
Dubai Sports City,0,1,590,Unfurnished,30000
Business Bay,2,2,1528,Unfurnished,129000
Al Nahda,1,1,1102,Furnished,67000
Downtown Dubai,1,2,1102,Unfurnished,122000
Al Nahda,1,1,1080,Partly Furnished,55000
Jumeirah Beach Residence (JBR),2,2,1650,Furnished,268000
Dubai Marina,2,3,1480,Furnished,161000
Jumeirah Beach Residence (JBR),2,2,1253,Furnished,133000
Dubai Sports City,3,3,1960,Partly Furnished,152000
Jumeirah Village Circle (JVC),3,4,2320,Furnished,193000
Dubai Silicon Oasis,0,1,605,Furnished,39000
Al Nahda,0,1,513,Partly Furnished,28000
Jumeirah Beach Residence (JBR),2,3,1298,Unfurnished,133000
Dubai Sports City,4,4,4376,Furnished,339000
Dubai Silicon Oasis,2,2,1533,Unfurnished,71000
Discovery Gardens,4,5,3370,Furnished,235000
Dubai Sports City,0,1,424,Furnished,35000
Dubai Silicon Oasis,1,1,1081,Unfurnished,78000
Dubai Silicon Oasis,1,1,1191,Furnished,95000
Downtown Dubai,4,4,4065,Unfurnished,401000
Dubai Marina,0,1,421,Unfurnished,46000
Business Bay,1,1,1160,Furnished,150000
Jumeirah Beach Residence (JBR),3,4,1914,Furnished,228000
Jumeirah Village Circle (JVC),2,2,1637,Unfurnished,93000
Dubai Sports City,1,1,777,Unfurnished,43000
Jumeirah Beach Residence (JBR),1,1,1027,Furnished,140000
Business Bay,2,2,1290,Unfurnished,136000
Discovery Gardens,2,2,1618,Furnished,112000
International City,1,1,822,Furnished,41000
Jumeirah Lake Towers (JLT),2,2,1482,Unfurnished,150000
Dubai Silicon Oasis,3,3,2145,Unfurnished,132000
Al Nahda,3,3,2484,Unfurnished,106000
Al Nahda,1,2,1034,Unfurnished,51000
Jumeirah Lake Towers (JLT),1,1,1086,Furnished,119000
Jumeirah Village Circle (JVC),4,4,4451,Furnished,413000
Dubai Sports City,0,1,428,Unfurnished,26000
Al Nahda,1,1,1114,Unfurnished,48000
Jumeirah Lake Towers (JLT),1,2,908,Unfurnished,86000
Jumeirah Lake Towers (JLT),1,1,944,Furnished,121000
Dubai Sports City,2,2,1372,Unfurnished,78000
Dubai Silicon Oasis,2,3,1489,Unfurnished,97000
Business Bay,0,1,454,Partly Furnished,52000
Business Bay,0,1,449,Partly Furnished,47000
Business Bay,2,2,1629,Furnished,185000
Jumeirah Beach Residence (JBR),1,1,781,Unfurnished,101000
Dubai Marina,1,1,927,Furnished,97000
Dubai Sports City,2,3,1155,Furnished,76000
Jumeirah Beach Residence (JBR),2,2,1394,Furnished,238000
Jumeirah Lake Towers (JLT),2,3,1170,Unfurnished,121000
Dubai Marina,1,1,767,Furnished,106000
Dubai Sports City,2,3,1620,Unfurnished,94000
Al Nahda,2,3,1631,Furnished,76000
Dubai Sports City,1,2,1083,Unfurnished,61000
Palm Jumeirah,1,1,761,Unfurnished,128000
Jumeirah Beach Residence (JBR),1,1,741,Unfurnished,90000
Jumeirah Beach Residence (JBR),1,1,993,Unfurnished,102000
Dubai Sports City,0,1,405,Unfurnished,22000
Dubai Silicon Oasis,2,2,1576,Unfurnished,82000
Business Bay,2,3,1591,Unfurnished,145000
Dubai Sports City,0,1,449,Furnished,44000
International City,3,4,2392,Unfurnished,88000
Al Nahda,1,2,715,Unfurnished,35000
International City,1,1,839,Furnished,49000
Business Bay,1,1,757,Unfurnished,69000
Dubai Marina,0,1,393,Furnished,59000
Jumeirah Beach Residence (JBR),3,3,1884,Furnished,283000
Business Bay,1,2,818,Unfurnished,83000
Jumeirah Beach Residence (JBR),2,2,1645,Unfurnished,197000
Jumeirah Lake Towers (JLT),2,2,1693,Furnished,199000
Palm Jumeirah,2,3,1202,Furnished,238000
Business Bay,2,3,1308,Unfurnished,156000
Downtown Dubai,2,3,1155,Partly Furnished,162000
Dubai Sports City,2,3,1593,Unfurnished,98000
Al Nahda,1,1,970,Unfurnished,42000
Palm Jumeirah,2,2,1173,Furnished,171000
Business Bay,1,2,1123,Unfurnished,105000
Downtown Dubai,2,3,1417,Furnished,184000
Downtown Dubai,2,3,1267,Furnished,168000
Al Nahda,1,2,1064,Furnished,68000
Business Bay,2,2,1172,Furnished,109000
Dubai Sports City,1,2,1075,Partly Furnished,60000
Palm Jumeirah,1,2,1184,Furnished,166000
Discovery Gardens,2,3,1191,Furnished,83000
Dubai Silicon Oasis,3,3,1972,Unfurnished,111000
Dubai Marina,2,2,1666,Furnished,276000
Downtown Dubai,2,3,1401,Partly Furnished,158000
International City,1,1,965,Unfurnished,39000
Business Bay,1,2,1099,Unfurnished,108000
Dubai Silicon Oasis,0,1,548,Unfurnished,26000
Dubai Silicon Oasis,0,1,417,Furnished,36000
Dubai Silicon Oasis,1,2,917,Partly Furnished,62000
Jumeirah Lake Towers (JLT),1,2,848,Unfurnished,51000
Palm Jumeirah,4,4,3728,Furnished,722000
Downtown Dubai,1,1,745,Furnished,129000
Business Bay,4,5,3862,Unfurnished,364000
Dubai Silicon Oasis,3,4,1717,Unfurnished,118000
Dubai Marina,1,1,1179,Furnished,156000
Dubai Marina,0,1,484,Furnished,55000
Jumeirah Village Circle (JVC),1,1,880,Partly Furnished,65000
Dubai Silicon Oasis,1,1,1027,Unfurnished,68000
Dubai Marina,2,2,1625,Unfurnished,173000
International City,0,1,383,Unfurnished,16000
Discovery Gardens,1,1,956,Partly Furnished,54000
Discovery Gardens,1,2,820,Furnished,64000
Downtown Dubai,2,3,1491,Unfurnished,161000
Palm Jumeirah,1,2,707,Unfurnished,85000
Palm Jumeirah,2,3,1107,Furnished,178000
International City,3,4,2553,Partly Furnished,118000
Business Bay,3,3,1828,Furnished,271000
Dubai Marina,1,2,1074,Unfurnished,95000
Jumeirah Beach Residence (JBR),0,1,400,Unfurnished,54000
Dubai Marina,2,3,1138,Unfurnished,106000
Al Nahda,0,1,647,Unfurnished,33000
Jumeirah Village Circle (JVC),0,1,631,Unfurnished,47000
International City,1,1,1176,Furnished,67000
International City,1,1,1116,Unfurnished,52000
International City,1,2,809,Unfurnished,38000
Jumeirah Beach Residence (JBR),1,1,1135,Furnished,186000
Al Nahda,1,1,995,Partly Furnished,63000
Jumeirah Village Circle (JVC),1,2,978,Unfurnished,53000
Dubai Silicon Oasis,1,1,1091,Unfurnished,62000
Dubai Silicon Oasis,0,1,634,Unfurnished,35000
Business Bay,2,3,1207,Furnished,143000
International City,0,1,631,Furnished,28000
Jumeirah Village Circle (JVC),2,2,1643,Unfurnished,106000
Business Bay,2,2,1465,Unfurnished,136000
International City,2,3,1454,Unfurnished,55000
International City,1,1,807,Furnished,33000
Downtown Dubai,1,1,1196,Furnished,147000
International City,1,1,954,Unfurnished,37000
Dubai Sports City,0,1,439,Furnished,37000
Dubai Marina,1,2,943,Unfurnished,104000
Jumeirah Beach Residence (JBR),3,3,2314,Furnished,339000
Discovery Gardens,3,4,1880,Unfurnished,112000
Jumeirah Beach Residence (JBR),3,4,2382,Furnished,335000
Business Bay,1,1,709,Unfurnished,85000
Discovery Gardens,2,2,1314,Unfurnished,76000
Dubai Marina,3,4,2209,Unfurnished,227000
Palm Jumeirah,1,1,954,Unfurnished,134000
Jumeirah Beach Residence (JBR),0,1,418,Unfurnished,46000
Palm Jumeirah,0,1,600,Unfurnished,90000
Al Nahda,1,1,1145,Furnished,70000
Dubai Marina,1,1,914,Unfurnished,107000
Palm Jumeirah,0,1,517,Unfurnished,75000
Downtown Dubai,1,2,779,Partly Furnished,111000
Jumeirah Village Circle (JVC),3,4,2119,Furnished,206000
Dubai Silicon Oasis,4,5,3316,Unfurnished,169000
Dubai Sports City,3,4,2554,Unfurnished,143000
International City,1,1,1162,Partly Furnished,62000
Dubai Silicon Oasis,2,3,1161,Partly Furnished,91000
Business Bay,1,1,1127,Unfurnished,111000
Downtown Dubai,0,1,391,Unfurnished,38000
Jumeirah Beach Residence (JBR),1,1,1143,Furnished,150000
Business Bay,4,5,2584,Furnished,238000
Dubai Sports City,0,1,411,Unfurnished,27000
Business Bay,0,1,510,Unfurnished,53000
Dubai Sports City,2,3,1477,Unfurnished,102000
Dubai Silicon Oasis,2,2,1632,Furnished,109000
Dubai Marina,0,1,531,Furnished,63000
Discovery Gardens,1,1,792,Furnished,57000
Jumeirah Beach Residence (JBR),2,2,1651,Unfurnished,182000
Business Bay,1,2,871,Unfurnished,86000
Discovery Gardens,3,3,2072,Partly Furnished,126000
International City,2,2,1603,Unfurnished,62000
Discovery Gardens,1,1,982,Unfurnished,52000
Jumeirah Beach Residence (JBR),2,2,1565,Unfurnished,180000
Jumeirah Village Circle (JVC),1,1,1087,Furnished,105000
Dubai Marina,2,2,1295,Partly Furnished,162000
Al Nahda,4,5,3733,Unfurnished,188000
Jumeirah Beach Residence (JBR),1,1,987,Unfurnished,123000
Discovery Gardens,2,3,1310,Unfurnished,70000
Palm Jumeirah,2,3,1146,Unfurnished,127000
